Time;temperature0;target0;heater0;flow_sensor0;flow_steps0;temperature1;target1;heater1;flow_sensor1;flow_steps1;bed_temperature;bed_target;bed_heater;active_hotend_or_state
252626.234;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
252626.328;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.438;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.547;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.656;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.328;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.438;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.547;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.656;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.766;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.438;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.547;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.656;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.766;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.875;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.547;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.656;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.766;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.875;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.984;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.766;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252626.875;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.984;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.078;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.188;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.875;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.984;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.078;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.188;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.297;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252626.875;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252626.984;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.078;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.188;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.297;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.078;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.188;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.297;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.391;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.500;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.297;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.391;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.500;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.594;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252627.703;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.391;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.500;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
252627.594;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252627.703;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
252627.797;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
252627.594;27.600;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
