Time;temperature0;target0;heater0;flow_sensor0;flow_steps0;temperature1;target1;heater1;flow_sensor1;flow_steps1;bed_temperature;bed_target;bed_heater;active_hotend_or_state
253656.266;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253656.375;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253656.469;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253656.578;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
253656.688;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253656.781;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
253656.891;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;22.900;0.000;0.000;10.000
253657.000;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253657.109;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
253657.203;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253657.312;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253657.422;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253657.547;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253657.641;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
253657.750;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253657.844;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
253657.953;27.700;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
253658.078;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253658.188;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253658.281;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253658.406;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253658.484;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253658.609;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253658.719;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253658.812;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
253658.922;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253659.031;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253659.125;27.700;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
253659.234;27.700;0.000;0.000;65535.000;0.000;27.800;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
253659.328;27.700;0.000;0.000;65535.000;0.000;27.900;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
