Time;temperature0;target0;heater0;flow_sensor0;flow_steps0;temperature1;target1;heater1;flow_sensor1;flow_steps1;bed_temperature;bed_target;bed_heater;active_hotend_or_state
257237.812;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
257237.922;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257238.031;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
257238.141;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257238.234;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
257238.344;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.600;0.000;0.000;10.000
257238.453;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.600;0.000;0.000;10.000
257238.562;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257238.656;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257238.766;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257238.875;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
257238.984;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257239.094;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.400;0.000;0.000;10.000
257239.203;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.600;0.000;0.000;10.000
257239.312;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257239.422;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257239.516;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.100;0.000;0.000;10.000
257239.656;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
257239.781;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257239.875;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257240.000;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.100;0.000;0.000;10.000
257240.094;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
257240.203;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257240.297;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.000;0.000;0.000;10.000
257240.406;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.100;0.000;0.000;10.000
257240.516;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257240.625;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.000;0.000;0.000;10.000
257240.719;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
257240.828;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257240.922;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
257241.031;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257241.141;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257241.234;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257241.344;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.000;0.000;0.000;10.000
257241.438;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.300;0.000;0.000;10.000
257241.672;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257241.766;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
257241.875;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.400;0.000;0.000;10.000
257242.000;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.700;0.000;0.000;10.000
257242.094;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257242.188;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257242.281;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257242.391;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.500;0.000;0.000;10.000
257242.500;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.200;0.000;0.000;10.000
257242.594;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.100;0.000;0.000;10.000
257242.719;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257242.812;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;23.800;0.000;0.000;10.000
257242.922;28.000;0.000;0.000;65535.000;0.000;28.200;0.000;0.000;65535.000;0.000;24.300;0.000;0.000;10.000
